game_id,round,lock_local,home,away,home_odds,away_odds,line_fav,is_margin_game,p_home_override
R23G1,R23,Thu 21 Aug 19:20,Carlton,Hawthorn,2.1,1.75,9,1,
R23G2,R23,Fri 22 Aug 19:50,Collingwood,Essendon,1.06,15.0,52,0,
R23G3,R23,Sat 23 Aug 13:45,Adelaide,Richmond,1.05,15.0,55,0,
R23G4,R23,Sat 23 Aug 16:35,Geelong,West Coast,1.08,9.5,46,0,
R23G5,R23,Sat 23 Aug 19:25,Brisbane,North Melbourne,1.14,6.0,36,0,
R23G6,R23,Sat 23 Aug 19:40,Fremantle,Port Adelaide,1.55,2.5,18,0,
R23G7,R23,Sun 24 Aug 13:10,Sydney,Melbourne,1.4,3.0,23,0,
R23G8,R23,Sun 24 Aug 15:20,GWS,Western Bulldogs,1.85,1.98,2,0,
R23G9,R23,Sun 24 Aug 17:40,St Kilda,Gold Coast,2.05,1.8,7,0,
R24G1,R24,Thu 28 Aug 19:20,Gold Coast,St Kilda,1.9,1.92,1,1,
R24G2,R24,Fri 29 Aug 19:50,Hawthorn,Collingwood,2.2,1.7,11,0,
R24G3,R24,Sat 30 Aug 13:45,Essendon,Adelaide,8.0,1.1,40,0,
R24G4,R24,Sat 30 Aug 16:35,West Coast,Brisbane,11.0,1.05,48,0,
R24G5,R24,Sat 30 Aug 19:25,Melbourne,Geelong,4.5,1.22,30,0,
R24G6,R24,Sat 30 Aug 19:40,Port Adelaide,Sydney,2.6,1.52,15,0,
R24G7,R24,Sun 31 Aug 13:10,North Melbourne,Fremantle,6.5,1.12,35,0,
R24G8,R24,Sun 31 Aug 15:20,Richmond,GWS,15.0,1.04,58,0,
R24G9,R24,Sun 31 Aug 17:40,Western Bulldogs,Carlton,1.65,2.3,13,0,
