game_id,round,lock_local,home,away,home_odds,away_odds,line_fav,is_margin_game,p_home_override
R23G1,R23,Fri 14 Aug 20:10,Fremantle,Adelaide,1.30,3.57,21.5,1,
R23G2,R23,Sat 15 Aug 12:35,Richmond,St Kilda,3.44,1.31,20.5,0,
R23G3,R23,Sat 15 Aug 15:45,North Melbourne,Geelong,3.17,1.36,19.5,0,
R23G4,R23,Sat 15 Aug 16:15,Brisbane,Gold Coast,1.18,4.90,32.5,0,
R23G5,R23,Sat 15 Aug 19:40,Hawthorn,Collingwood,1.34,3.29,19.5,0,
R23G6,R23,Sat 15 Aug 20:10,Port Adelaide,Melbourne,4.10,1.24,27.5,0,
R23G7,R23,Sun 16 Aug 13:40,GWS,West Coast,1.15,5.50,32.5,0,
R23G8,R23,Sun 16 Aug 15:15,Western Bulldogs,Carlton,3.90,1.26,24.5,0,
R23G9,R23,Sun 16 Aug 16:40,Essendon,Sydney,15.00,1.02,61.5,0,
R24G1,R24,Thu 20 Aug 19:30,St Kilda,Gold Coast,1.64,2.27,7.5,1,
R24G2,R24,Fri 21 Aug 19:40,Collingwood,Brisbane,2.90,1.42,15.5,0,
R24G3,R24,Sat 22 Aug 13:15,Carlton,Fremantle,2.69,1.47,13.5,0,
R24G4,R24,Sat 22 Aug 16:15,Melbourne,Western Bulldogs,1.47,2.71,13.5,0,
R24G5,R24,Sat 22 Aug 19:45,Geelong,Richmond,1.02,15.00,58.5,0,
R24G6,R24,Sat 22 Aug 20:10,Adelaide,GWS,1.40,2.98,16.5,0,
R24G7,R24,Sun 23 Aug 12:20,Essendon,Port Adelaide,3.70,1.28,23.5,0,
R24G8,R24,Sun 23 Aug 15:20,Sydney,North Melbourne,1.14,5.75,35.5,0,
R24G9,R24,Sun 23 Aug 19:20,West Coast,Hawthorn,5.75,1.14,35.5,0,
